"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","966","searchMovieTest","PVR movie booking Application Test Automation Test Suite","Tue Dec 17 18:07:19 IST 2024","passed","Tue Dec 17 18:07:20 IST 2024","com.pvr.qa.testcases.HomePageTest","PVR movie booking App Test Cases","com.pvr.qa.testcases.HomePageTest","searchMovieTest"
"","62","checkImageDisplayTest","PVR movie booking Application Test Automation Test Suite","Tue Dec 17 18:07:06 IST 2024","passed","Tue Dec 17 18:07:06 IST 2024","com.pvr.qa.testcases.HomePageTest","PVR movie booking App Test Cases","com.pvr.qa.testcases.HomePageTest","checkImageDisplayTest"
"","447","getOfferTitleTest","PVR movie booking Application Test Automation Test Suite","Tue Dec 17 18:08:24 IST 2024","passed","Tue Dec 17 18:08:25 IST 2024","com.pvr.qa.testcases.OffersPageTest","PVR movie booking App Test Cases","com.pvr.qa.testcases.OffersPageTest","getOfferTitleTest"
"","2445","selectLocationDataTest","PVR movie booking Application Test Automation Test Suite","Tue Dec 17 18:07:26 IST 2024","passed","Tue Dec 17 18:07:28 IST 2024","com.pvr.qa.testcases.HomePageTest","PVR movie booking App Test Cases","com.pvr.qa.testcases.HomePageTest","selectLocationDataTest"
"","5376","viewTermsAndConditionsTest","PVR movie booking Application Test Automation Test Suite","Tue Dec 17 18:08:30 IST 2024","passed","Tue Dec 17 18:08:35 IST 2024","com.pvr.qa.testcases.OffersPageTest","PVR movie booking App Test Cases","com.pvr.qa.testcases.OffersPageTest","viewTermsAndConditionsTest"
"","914","checkForDisplayOfExperiencesTest","PVR movie booking Application Test Automation Test Suite","Tue Dec 17 18:08:45 IST 2024","failed","Tue Dec 17 18:08:46 IST 2024","com.pvr.qa.testcases.CinemasPageTest","PVR movie booking App Test Cases","com.pvr.qa.testcases.CinemasPageTest","checkForDisplayOfExperiencesTest"
"","160","offersPageTest","PVR movie booking Application Test Automation Test Suite","Tue Dec 17 18:08:10 IST 2024","passed","Tue Dec 17 18:08:10 IST 2024","com.pvr.qa.testcases.OffersPageTest","PVR movie booking App Test Cases","com.pvr.qa.testcases.OffersPageTest","offersPageTest"
"","364","offerDetailsTest","PVR movie booking Application Test Automation Test Suite","Tue Dec 17 18:08:20 IST 2024","passed","Tue Dec 17 18:08:20 IST 2024","com.pvr.qa.testcases.OffersPageTest","PVR movie booking App Test Cases","com.pvr.qa.testcases.OffersPageTest","offerDetailsTest"
"","788","numberOfTheatersTest","PVR movie booking Application Test Automation Test Suite","Tue Dec 17 18:08:40 IST 2024","passed","Tue Dec 17 18:08:40 IST 2024","com.pvr.qa.testcases.CinemasPageTest","PVR movie booking App Test Cases","com.pvr.qa.testcases.CinemasPageTest","numberOfTheatersTest"
"","146","OfferButtonTest","PVR movie booking Application Test Automation Test Suite","Tue Dec 17 18:08:00 IST 2024","passed","Tue Dec 17 18:08:00 IST 2024","com.pvr.qa.testcases.HomePageTest","PVR movie booking App Test Cases","com.pvr.qa.testcases.HomePageTest","OfferButtonTest"
"","2326","selectLocationDataTest","PVR movie booking Application Test Automation Test Suite","Tue Dec 17 18:07:46 IST 2024","passed","Tue Dec 17 18:07:49 IST 2024","com.pvr.qa.testcases.HomePageTest","PVR movie booking App Test Cases","com.pvr.qa.testcases.HomePageTest","selectLocationDataTest"
"","2432","selectLocationTest","PVR movie booking Application Test Automation Test Suite","Tue Dec 17 18:07:12 IST 2024","passed","Tue Dec 17 18:07:14 IST 2024","com.pvr.qa.testcases.HomePageTest","PVR movie booking App Test Cases","com.pvr.qa.testcases.HomePageTest","selectLocationTest"
"","851","totalCinemasUnderSevenTest","PVR movie booking Application Test Automation Test Suite","Tue Dec 17 18:09:02 IST 2024","passed","Tue Dec 17 18:09:02 IST 2024","com.pvr.qa.testcases.CinemasPageTest","PVR movie booking App Test Cases","com.pvr.qa.testcases.CinemasPageTest","totalCinemasUnderSevenTest"
"","2395","selectLocationDataTest","PVR movie booking Application Test Automation Test Suite","Tue Dec 17 18:07:40 IST 2024","passed","Tue Dec 17 18:07:42 IST 2024","com.pvr.qa.testcases.HomePageTest","PVR movie booking App Test Cases","com.pvr.qa.testcases.HomePageTest","selectLocationDataTest"
"","791","countPVRCinemaTest","PVR movie booking Application Test Automation Test Suite","Tue Dec 17 18:08:55 IST 2024","passed","Tue Dec 17 18:08:56 IST 2024","com.pvr.qa.testcases.CinemasPageTest","PVR movie booking App Test Cases","com.pvr.qa.testcases.CinemasPageTest","countPVRCinemaTest"
"","312","offersCountTest","PVR movie booking Application Test Automation Test Suite","Tue Dec 17 18:08:15 IST 2024","passed","Tue Dec 17 18:08:15 IST 2024","com.pvr.qa.testcases.OffersPageTest","PVR movie booking App Test Cases","com.pvr.qa.testcases.OffersPageTest","offersCountTest"
"","2359","selectLocationDataTest","PVR movie booking Application Test Automation Test Suite","Tue Dec 17 18:07:53 IST 2024","passed","Tue Dec 17 18:07:56 IST 2024","com.pvr.qa.testcases.HomePageTest","PVR movie booking App Test Cases","com.pvr.qa.testcases.HomePageTest","selectLocationDataTest"
"","321","checksearchBarIsDisplayedTest","PVR movie booking Application Test Automation Test Suite","Tue Dec 17 18:08:51 IST 2024","passed","Tue Dec 17 18:08:51 IST 2024","com.pvr.qa.testcases.CinemasPageTest","PVR movie booking App Test Cases","com.pvr.qa.testcases.CinemasPageTest","checksearchBarIsDisplayedTest"
"","11","isPageTitleCorrectTest","PVR movie booking Application Test Automation Test Suite","Tue Dec 17 18:08:05 IST 2024","passed","Tue Dec 17 18:08:05 IST 2024","com.pvr.qa.testcases.HomePageTest","PVR movie booking App Test Cases","com.pvr.qa.testcases.HomePageTest","isPageTitleCorrectTest"
"","2360","selectLocationDataTest","PVR movie booking Application Test Automation Test Suite","Tue Dec 17 18:07:33 IST 2024","passed","Tue Dec 17 18:07:35 IST 2024","com.pvr.qa.testcases.HomePageTest","PVR movie booking App Test Cases","com.pvr.qa.testcases.HomePageTest","selectLocationDataTest"
